Epoch,Accuracy,Test_Accuracy,stat_FIM,emp_FIM,flat_FIM,y_pred_avg,y_pred_max,y_pred_min,y_pred_label
70,0.971560001373291,0.6866999864578247,"tf.Tensor(825.1321, shape=(), dtype=float32)","tf.Tensor(734.024, shape=(), dtype=float32)","tf.Tensor(80471.32, shape=(), dtype=float32)","tf.Tensor(0.9795282, shape=(), dtype=float32)","tf.Tensor(0.9795282, shape=(), dtype=float32)","tf.Tensor(7.921201e-09, shape=(), dtype=float32)","tf.Tensor(0.100516304, shape=(), dtype=float32)"
71,0.9771599769592285,0.6668999791145325,"tf.Tensor(2443.2708, shape=(), dtype=float32)","tf.Tensor(2542.259, shape=(), dtype=float32)","tf.Tensor(73583.91, shape=(), dtype=float32)","tf.Tensor(0.9578392, shape=(), dtype=float32)","tf.Tensor(0.9578392, shape=(), dtype=float32)","tf.Tensor(5.5196033e-08, shape=(), dtype=float32)","tf.Tensor(0.10049553, shape=(), dtype=float32)"
72,0.9767400026321411,0.6840999722480774,"tf.Tensor(1176.5907, shape=(), dtype=float32)","tf.Tensor(1444.5958, shape=(), dtype=float32)","tf.Tensor(85973.73, shape=(), dtype=float32)","tf.Tensor(0.9753086, shape=(), dtype=float32)","tf.Tensor(0.9753086, shape=(), dtype=float32)","tf.Tensor(8.7348045e-10, shape=(), dtype=float32)","tf.Tensor(0.10060172, shape=(), dtype=float32)"
73,0.9860600233078003,0.6449000239372253,"tf.Tensor(2577.7075, shape=(), dtype=float32)","tf.Tensor(7537.602, shape=(), dtype=float32)","tf.Tensor(89751.72, shape=(), dtype=float32)","tf.Tensor(0.95507973, shape=(), dtype=float32)","tf.Tensor(0.95507973, shape=(), dtype=float32)","tf.Tensor(1.8775246e-09, shape=(), dtype=float32)","tf.Tensor(0.10034227, shape=(), dtype=float32)"
74,0.9937199950218201,0.690500020980835,"tf.Tensor(146.44414, shape=(), dtype=float32)","tf.Tensor(46.21914, shape=(), dtype=float32)","tf.Tensor(98188.7, shape=(), dtype=float32)","tf.Tensor(0.9926266, shape=(), dtype=float32)","tf.Tensor(0.9926266, shape=(), dtype=float32)","tf.Tensor(9.414471e-10, shape=(), dtype=float32)","tf.Tensor(0.10051205, shape=(), dtype=float32)"
75,0.9990400075912476,0.6922000050544739,"tf.Tensor(248.87347, shape=(), dtype=float32)","tf.Tensor(11.648905, shape=(), dtype=float32)","tf.Tensor(106042.49, shape=(), dtype=float32)","tf.Tensor(0.9961753, shape=(), dtype=float32)","tf.Tensor(0.9961753, shape=(), dtype=float32)","tf.Tensor(7.263093e-10, shape=(), dtype=float32)","tf.Tensor(0.100495, shape=(), dtype=float32)"
76,1.0,0.6930000185966492,"tf.Tensor(219.56184, shape=(), dtype=float32)","tf.Tensor(3.9041426, shape=(), dtype=float32)","tf.Tensor(112992.66, shape=(), dtype=float32)","tf.Tensor(0.9973889, shape=(), dtype=float32)","tf.Tensor(0.9973889, shape=(), dtype=float32)","tf.Tensor(7.8168594e-10, shape=(), dtype=float32)","tf.Tensor(0.10050086, shape=(), dtype=float32)"
77,1.0,0.6930000185966492,"tf.Tensor(75.88724, shape=(), dtype=float32)","tf.Tensor(3.5658536, shape=(), dtype=float32)","tf.Tensor(115053.76, shape=(), dtype=float32)","tf.Tensor(0.99772954, shape=(), dtype=float32)","tf.Tensor(0.99772954, shape=(), dtype=float32)","tf.Tensor(2.7795555e-10, shape=(), dtype=float32)","tf.Tensor(0.10050356, shape=(), dtype=float32)"
78,1.0,0.6952000260353088,"tf.Tensor(165.97844, shape=(), dtype=float32)","tf.Tensor(1.8435653, shape=(), dtype=float32)","tf.Tensor(119784.34, shape=(), dtype=float32)","tf.Tensor(0.9981014, shape=(), dtype=float32)","tf.Tensor(0.9981014, shape=(), dtype=float32)","tf.Tensor(2.5800534e-10, shape=(), dtype=float32)","tf.Tensor(0.10050056, shape=(), dtype=float32)"
79,1.0,0.6937999725341797,"tf.Tensor(152.20036, shape=(), dtype=float32)","tf.Tensor(1.5467042, shape=(), dtype=float32)","tf.Tensor(122673.27, shape=(), dtype=float32)","tf.Tensor(0.99829876, shape=(), dtype=float32)","tf.Tensor(0.99829876, shape=(), dtype=float32)","tf.Tensor(2.9521818e-10, shape=(), dtype=float32)","tf.Tensor(0.100500874, shape=(), dtype=float32)"
80,1.0,0.6941999793052673,"tf.Tensor(1.1739489, shape=(), dtype=float32)","tf.Tensor(1.1739489, shape=(), dtype=float32)","tf.Tensor(123347.26, shape=(), dtype=float32)","tf.Tensor(0.99847484, shape=(), dtype=float32)","tf.Tensor(0.99847484, shape=(), dtype=float32)","tf.Tensor(2.396561e-10, shape=(), dtype=float32)","tf.Tensor(0.10050299, shape=(), dtype=float32)"
81,1.0,0.6945000290870667,"tf.Tensor(221.52307, shape=(), dtype=float32)","tf.Tensor(1.0587419, shape=(), dtype=float32)","tf.Tensor(126582.04, shape=(), dtype=float32)","tf.Tensor(0.9985782, shape=(), dtype=float32)","tf.Tensor(0.9985782, shape=(), dtype=float32)","tf.Tensor(1.8783712e-10, shape=(), dtype=float32)","tf.Tensor(0.100501165, shape=(), dtype=float32)"
