,0,1
0,823.71,0.23058408
1,5717.02,0.10279131
2,4281.7344,0.030352302
3,3952.739,0.07104555
4,11238.115,0.0010795221
5,10933.777,1.5144672e-05
6,2557.7812,0.073997594
7,2512.463,0.008278237
8,3774.5796,0.033558834
9,10510.648,0.0010192146
10,11151.27,0.00031548901
11,803.6764,0.1200918
12,870.5799,0.1934007
13,11214.423,0.031029034
14,3099.7944,0.07329456
15,4301.1846,0.028732305
16,7906.2974,0.005006804
17,6472.2065,0.001120195
18,1438.4207,0.1480602
19,6953.3286,0.00027146953
20,4700.8657,0.100699484
21,3921.33,0.001232986
22,1590.7323,0.022416402
23,11922.777,0.0014129232
24,14522.225,0.07304577
25,926.11646,0.25644815
26,14326.583,0.00029543124
27,2871.045,0.003521403
28,7366.68,0.0011745873
29,20330.031,9.864382e-05
30,3515.5505,0.17915803
31,3204.228,0.2527429
32,2822.1199,0.021093557
33,2708.702,0.07925795
34,19252.137,0.000120499026
35,1541.1917,0.52807546
36,1953.4363,0.3013952
37,258.7462,0.6940751
38,3618.9138,0.2670719
39,3379.6047,0.019134477
40,6089.2627,0.070912704
41,1300.0718,0.22039196
42,2564.43,0.048092965
43,4073.484,0.01920667
44,7640.504,0.029709477
45,1473.9033,0.33452988
46,13596.779,0.07377627
47,8095.827,0.012371501
48,10984.721,0.0011764098
49,643.5052,0.71173084
50,373.08463,0.7001145
51,4141.7715,0.15450923
52,1460.9867,0.20738581
53,10587.732,0.00024441234
54,4883.6343,0.034949895
55,5154.137,0.23790343
56,4497.876,0.09999685
57,4910.9175,0.09081677
58,17560.977,0.00041908264
59,11366.322,0.018450238
60,9210.832,0.075910695
61,1067.5333,0.19734281
62,4784.213,0.0048297485
63,1164.6093,0.23234971
64,1517.4843,0.08302751
65,872.98584,0.6453218
66,4897.3154,0.0080392
67,3505.218,0.00044616798
68,12577.348,0.0041168253
69,11207.041,0.004337332
70,2592.5254,0.04822918
71,13526.164,0.011830995
72,2179.4849,0.31893554
73,1531.9941,0.17197521
