,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,249.88052,-2.84654,516.42004,-3.1063993,1365.7421,-3.6924896,3227.6145,-4.4198594,3095.228,-3.149777,2119.4583,-0.7180182,11097.537,-2.8550322,19127.082,-8.401963,34615.1,-3.3856099,33984.43,-6.368266,58780.992,-9.198114
1,,734.7146,-4.66461,1073.2866,-0.9185617,4687.0767,-6.9037995,10394.763,-8.498144,11515.73,-7.706646,14890.059,-7.5231237,30796.697,-4.3348713,0.14120446,-0.00163295,51417.254,-23.078493,74550.24,-25.54656,80324.98,-22.015038
2,,620.67505,-1.9020512,2407.1636,-2.7421875,5775.8477,-7.42129,7251.6235,-2.7405264,208.12764,-0.16702321,20886.72,-12.284275,15514.771,-1.7230148,19377.387,-12.486165,68853.43,-24.528717,55796.875,-6.1656055,105727.05,-28.825787
3,,576.0322,-4.517658,763.4415,-1.3777704,4486.106,-8.916907,7675.596,-9.398547,11069.735,-10.378895,22597.844,-7.271634,19870.697,-16.109228,35398.54,-13.660469,42216.758,-27.205063,49473.926,-31.68869,58093.438,-14.13874
4,,221.8744,-1.8816175,1271.2131,-3.4214315,2000.0582,-2.620892,51.357872,-0.20075133,26.577692,-0.11477248,14.28241,-0.06878144,21107.545,-16.943583,30077.902,-21.762182,16929.09,-2.6829557,43493.082,-15.320766,35.916237,-0.031866528
5,,170.06671,-1.3863728,219.90746,-0.7594222,3878.096,-10.322547,1007.09485,-1.4444745,6397.0083,-7.996443,5676.117,-2.4678652,10521.164,-9.765215,5843.0796,-1.8775959,20947.174,-12.680687,23717.871,-6.386082,36618.25,-12.048613
6,,280.24286,-1.770134,2990.418,-5.5724587,4036.2048,-11.701369,4096.711,-4.913031,11137.717,-6.1633534,7126.6885,-3.6644964,20665.35,-10.560137,19486.064,-7.8966904,27096.496,-12.781593,39802.234,-15.155666,56467.812,-23.339527
7,,520.56995,-4.8565536,181.27357,-0.476147,1518.9761,-8.252377,2905.9873,-4.2252874,3545.8928,-4.857992,7814.5107,-9.097973,9378.736,-8.542117,10728.631,-5.8379245,27406.246,-17.43552,24974.7,-8.32414,29169.297,-9.374473
8,,308.48776,-2.3960166,1027.4417,-1.4369214,4312.797,-5.6382236,1445.1514,-1.9783471,517.0584,-0.5413927,11393.74,-6.6460514,14683.802,-8.297968,0.8450401,-0.010037863,0.10383429,-0.0030706534,33592.977,-12.956094,31251.342,-10.489898
9,,690.76733,-3.615261,1190.9515,-3.0885115,4706.185,-5.332251,1172.212,-0.90909505,3597.9736,-2.3945656,1162.8379,-0.6288544,14548.772,-21.499876,10196.365,-5.2919173,26237.871,-20.424824,45664.92,-24.758015,46020.54,-33.677895
10,,713.8065,-2.8875048,1176.1016,-3.363227,2682.3076,-5.576377,3328.1216,-5.9600577,3412.6064,-2.602705,5627.9126,-2.6351712,4010.902,-1.0283344,11539.361,-3.3409648,23371.236,-2.318795,42523.086,-12.191285,61532.668,-10.97889
11,,964.662,-2.6219018,1894.2189,-8.318362,4901.283,-5.383662,4853.421,-3.0835242,9643.965,-9.509447,16770.234,-9.939597,14440.766,-7.833285,17692.75,-7.6931844,21947.023,-6.730286,76614.05,-27.780622,36442.92,-10.186334
12,,2549.3833,-5.3592525,4497.95,-4.9330196,4089.1338,-2.7516246,9778.118,-8.709251,9746.845,-11.225371,7309.2627,-1.5940411,21926.418,-13.843857,85.046715,-0.083524846,53416.65,-22.22377,66435.8,-11.131372,102803.84,-15.558883
