,0,1,2
0,,120.257256,0.1591121
1,,280.35876,0.24453346
2,,117.09527,0.10882695
3,,305.86603,0.09162967
4,,213.48697,0.17935407
5,,167.17279,0.09686255
6,,162.70824,0.09369055
7,,126.89237,0.0987366
8,,118.69432,0.1042064
9,,297.36136,0.102407694
10,,92.12996,0.14956686
11,,65.96437,0.11029873
12,,78.536606,0.11418362
13,,368.58014,0.060935847
14,,244.82494,0.04735774
15,,102.77707,0.124531895
16,,241.76465,0.085972615
17,,93.067535,0.08710405
18,,115.83298,0.06267373
19,,195.65883,0.08085128
20,,142.88889,0.107380904
21,,165.18915,0.09696163
22,,46.69291,0.120816804
23,,107.67325,0.11008832
24,,287.6271,0.08231231
25,,136.92923,0.05842233
26,,232.67693,0.07255502
27,,201.25421,0.06388766
28,,58.508904,0.12828982
29,,264.22076,0.0994161
30,,64.8799,0.12722948
31,,155.19333,0.09268146
32,,101.89851,0.13616589
33,,88.572426,0.09776497
34,,573.87915,0.18421781
35,,536.06165,0.055064626
36,,83.48475,0.13331048
37,,647.60205,0.05026886
38,,162.1242,0.104449585
39,,131.87387,0.11470353
40,,298.55383,0.061244875
41,,413.1399,0.032774795
42,,297.64395,0.040564
43,,107.19393,0.092487596
44,,86.661156,0.10766416
45,,179.80138,0.1190482
46,,313.4988,0.11520487
47,,347.2987,0.20214906
48,,239.9524,0.053162303
49,,226.87126,0.13714378
50,,376.61606,0.11813551
51,,192.65344,0.12434149
52,,451.7392,0.051214643
53,,238.51276,0.063949004
54,,104.13415,0.097912066
55,,618.8598,0.051619474
56,,299.26837,0.11023363
57,,202.8162,0.11407635
58,,605.73206,0.0541427
59,,140.40744,0.0965111
60,,272.36868,0.107460685
61,,96.25227,0.076678075
62,,98.473755,0.090629816
63,,140.98874,0.09496077
64,,85.68271,0.0969533
65,,577.79407,0.15539141
66,,115.393814,0.13111852
67,,36.250504,0.12467232
68,,208.30035,0.087956406
69,,186.56161,0.10838316
70,,117.775955,0.0634948
71,,523.2987,0.06029796
72,,273.14633,0.040151574
73,,186.02277,0.1541048
74,,36.21949,0.13391209
75,,86.695625,0.13418911
76,,334.1629,0.08580209
77,,205.83417,0.064736284
78,,267.72693,0.120573305
79,,147.54434,0.05643671
80,,174.19833,0.13610715
81,,131.72084,0.069666974
82,,110.97431,0.12195645
83,,166.22127,0.10651248
84,,434.77628,0.026686974
85,,88.77309,0.06430065
86,,126.56345,0.09664699
87,,197.38316,0.14328627
88,,309.4716,0.11283967
89,,126.25084,0.12979195
90,,85.0264,0.15848231
91,,195.86786,0.115525484
92,,70.42706,0.11523521
93,,150.22417,0.106660955
94,,510.28558,0.058642764
95,,466.97318,0.21102701
96,,828.33484,0.08383397
97,,133.91943,0.066691354
98,,102.3322,0.12068791
99,,294.19852,0.0777103
100,,292.496,0.076149724
101,,144.5936,0.08974999
102,,153.8948,0.1666304
103,,257.4522,0.122422405
104,,279.55194,0.049910728
105,,213.52896,0.104096025
106,,170.4706,0.058519572
107,,191.76343,0.092024215
108,,666.0583,0.120901726
109,,187.69556,0.10289883
110,,170.68338,0.08459818
111,,406.48163,0.06767409
112,,113.14445,0.114287436
113,,291.85052,0.1587049
114,,502.50235,0.1047279
115,,301.36353,0.08824214
116,,154.04984,0.16757959
117,,147.84955,0.12909184
118,,140.9367,0.16042627
119,,169.66823,0.09132521
120,,240.92844,0.09776504
121,,150.80478,0.1192901
122,,122.32405,0.056098517
123,,171.87582,0.037234653
124,,98.2301,0.16710348
125,,172.51335,0.067068204
126,,339.53482,0.08146528
127,,300.34613,0.06434153
128,,143.04434,0.11824206
129,,232.90645,0.18070716
130,,290.9566,0.10992656
131,,260.55887,0.09394753
132,,113.85039,0.11796351
133,,221.54198,0.07704123
134,,85.645226,0.11442178
135,,270.26483,0.08717392
136,,156.2344,0.11791285
137,,186.55984,0.12579992
138,,532.40405,0.041895114
139,,127.43111,0.09283758
140,,213.48914,0.07603839
141,,344.9743,0.081997685
142,,574.62305,0.14113241
143,,200.6571,0.06758975
144,,58.289482,0.106162146
145,,330.8009,0.0491837
146,,286.5846,0.14451365
147,,201.30399,0.066942215
148,,296.70108,0.07459375
149,,193.29846,0.10267131
150,,180.55293,0.08835167
151,,186.58295,0.08480835
152,,185.45178,0.05810081
153,,157.85477,0.084401034
154,,64.31599,0.13821664
155,,71.171005,0.13054821
156,,106.58275,0.08659169
157,,617.34686,0.18877435
158,,78.287384,0.14194186
159,,684.9169,0.1807195
160,,393.28656,0.06781855
161,,51.698524,0.1241644
162,,67.25305,0.09268884
163,,144.40631,0.09164596
164,,244.81145,0.101319104
165,,473.197,0.056925658
166,,170.83783,0.099401094
167,,147.87389,0.09120039
168,,437.06158,0.058881458
169,,175.75095,0.14966068
170,,195.78726,0.09603048
171,,42.500385,0.12826054
172,,213.53094,0.101191975
173,,263.0124,0.08606633
174,,68.46665,0.11696111
175,,134.0697,0.07332422
176,,188.47194,0.07812606
177,,234.38614,0.12671022
178,,161.51575,0.085054874
179,,186.41333,0.15325424
180,,169.95116,0.11352698
181,,344.16544,0.07145669
182,,348.4494,0.12716877
183,,84.0363,0.13054386
184,,410.73175,0.08775802
185,,143.92264,0.116302036
186,,274.92767,0.060245436
187,,325.74,0.06312596
188,,290.76624,0.11372427
189,,246.90552,0.053342577
190,,126.81217,0.092142634
191,,201.691,0.12573253
192,,292.13138,0.0907839
193,,133.47156,0.11250577
194,,76.6261,0.048630964
