,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,318.68787,-4.0514507,242.91025,-0.70189506,1418.9392,-3.031822,1640.5541,-3.2879932,2856.285,-4.71116,2096.623,-1.6572543,3206.9956,-6.1589966,4573.241,-4.880262,4339.0396,-5.892276,4359.669,-5.636167,2458.8696,-1.3982949
1,,271.7384,-1.8003954,1462.138,-4.8438954,2469.4316,-6.5129094,3416.5544,-5.091339,4163.1094,-4.4311333,3554.904,-5.328553,795.1114,-1.0149081,1054.5212,-1.1133456,3474.3804,-2.2323189,4959.462,-4.477023,3330.877,-1.9900136
2,,203.69437,-1.4538643,1976.7153,-4.2172046,2693.0334,-4.665157,920.161,-2.0452971,483.75888,-0.715428,4095.3904,-4.7582626,1060.3192,-2.111818,3972.1802,-7.1500597,4336.46,-4.431082,2230.4712,-2.716273,4951.8213,-4.610694
3,,259.27045,-1.4034528,1650.3258,-2.9503126,190.34732,-0.42962247,3515.558,-3.7039888,1232.4141,-2.6218514,1600.1783,-2.7028553,5609.274,-3.9134667,4296.813,-5.166774,4878.255,-5.42758,5197.7827,-5.2903233,6715.184,-5.7557025
4,,277.15897,-1.9448296,219.97873,-1.548395,999.84143,-3.88773,2231.3345,-5.0468025,252.47685,-0.7259867,1484.3403,-3.3162248,1737.796,-3.2275772,3289.8635,-5.515785,2812.1846,-4.574402,3551.642,-5.4473114,1743.7625,-3.381532
5,,93.476875,-2.747982,295.70935,-3.003819,454.77707,-2.727514,688.1581,-2.7938728,1741.5482,-2.856926,401.25003,-1.2169805,1153.2266,-2.6807914,1339.3141,-2.0720615,2184.463,-3.4061449,1609.6367,-2.4909933,1954.2885,-2.0189576
6,,214.71594,-1.7442429,221.12286,-1.0447026,1936.5015,-2.4126701,1897.3256,-3.2788138,3356.1948,-6.049203,1042.5298,-2.5022292,2362.8162,-4.0136695,4371.351,-5.989916,1438.7554,-2.8218336,1341.2207,-3.2075074,1701.9711,-5.0125203
7,,500.493,-2.546061,616.074,-2.0558665,1441.9409,-2.550618,1569.5618,-1.7050906,3025.1538,-4.5020084,1172.8505,-2.279956,1672.9141,-2.504892,2917.1152,-5.1576333,3324.949,-4.9362035,2353.614,-3.2456827,297.59784,-0.49969846
8,,590.8104,-4.919492,2452.8735,-4.292887,4127.673,-6.3640366,3522.3367,-9.583473,3087.8594,-8.161429,3285.862,-7.86844,6963.075,-6.968471,5480.1064,-3.4346292,5552.468,-4.1992617,130.50665,-0.20679079,7726.859,-7.956048
9,,587.36865,-4.0623345,961.2315,-1.58754,1656.155,-7.225955,1629.5322,-1.814067,3836.7014,-9.392843,4603.2285,-9.765315,47.885914,-0.12020539,4357.5576,-8.316386,4993.747,-5.1533785,7370.7485,-13.1130495,5406.8535,-5.3064
10,,193.516,-2.5620222,654.8529,-2.1537268,989.2759,-2.4972873,1594.4702,-2.344523,1715.1056,-2.6003764,1265.1855,-1.6727247,1753.5657,-4.3543086,1400.2524,-1.9785968,3258.9385,-3.2726805,631.9896,-1.767168,2345.3792,-4.642113
11,,257.3435,-1.0180321,214.5144,-0.70548385,1164.2224,-1.2779653,3884.188,-8.535289,437.45984,-0.6248032,2548.712,-1.5314296,5363.3213,-7.357704,2680.6929,-1.3829846,673.7937,-0.71700776,4716.4146,-8.110701,1836.0925,-1.3332303
12,,169.46213,-1.2542806,669.41724,-1.8377712,1126.2676,-2.5635679,1561.0618,-3.02756,2238.1108,-9.224679,2782.753,-9.554684,1435.6217,-5.5386515,1932.8827,-2.934096,3531.4373,-10.28781,2660.2578,-4.2803693,3811.9795,-10.42502
13,,106.94645,-2.0516088,1778.3385,-6.1205482,1523.317,-3.8484044,941.1173,-2.4916363,971.62805,-2.555961,2680.4927,-6.646564,2797.6177,-6.762733,1372.6943,-1.7396836,3756.1357,-4.598911,1485.7358,-5.319895,2598.7385,-7.2678394
14,,444.15485,-3.433565,751.75977,-2.5248077,1851.1862,-5.9439855,1044.3811,-1.769093,1291.3586,-2.788277,1360.6438,-2.9685888,1413.0386,-2.5256426,1928.9487,-2.4568024,1937.8396,-2.975555,416.92047,-0.64422923,1339.456,-1.8378339
15,,355.35114,-2.134881,2299.0881,-2.8927438,624.7297,-2.1852877,774.37573,-1.6819057,1015.2988,-1.8681079,756.675,-1.7038382,1972.9861,-3.8540404,3811.2236,-4.7481856,2570.4683,-2.8042195,1552.5337,-1.4085217,1563.9714,-1.9624436
16,,943.32556,-6.1892824,1760.7441,-7.8694587,2491.2026,-7.0451617,676.73065,-0.89850605,1223.1118,-1.348836,4395.8193,-8.26283,4929.3413,-7.5005517,4138.513,-6.5369124,4572.9395,-6.6034765,5006.757,-11.353402,6227.745,-9.516679
