,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,316.24194,-1.4421589,984.62695,-2.0494313,1891.536,-2.5265443,2264.4685,-2.2265904,5322.286,-7.677376,6324.4346,-8.538633,50.222004,-0.08694601,11439.052,-3.2017932,9815.867,-5.13527,18000.572,-4.1260624,31.844856,-0.049327716
1,,407.6036,-1.0880268,4765.6255,-6.7603674,489.1176,-0.3342988,13849.973,-11.530339,15317.819,-10.739972,22159.895,-13.33884,24002.445,-12.388404,30543.14,-17.222305,50588.285,-10.172671,43713.734,-10.653836,47021.367,-21.307714
2,,473.77823,-1.971244,3756.9153,-6.016368,1468.0012,-1.0724366,6770.662,-1.9283737,9185.256,-5.241812,19193.35,-17.462019,12899.223,-11.740588,29359.652,-10.814292,39251.25,-10.298247,36671.824,-9.707136,40357.555,-16.368364
3,,257.3731,-2.5249004,1432.878,-6.3036475,1204.8223,-3.3714035,2985.3398,-3.9620354,17.587627,-0.09318273,4056.7173,-4.7263103,8.242247,-0.048412472,6209.086,-10.025072,8992.754,-9.840998,11313.157,-6.4341774,14431.084,-11.328973
4,,353.43884,-4.1656036,1389.9458,-5.453424,1817.7822,-3.239273,3501.2393,-8.163802,5118.328,-3.915469,7985.3496,-6.3171835,11394.908,-2.9493806,14363.25,-3.571659,19700.715,-8.881027,27275.508,-10.651334,31.167053,-0.03959485
5,,313.1272,-3.0781329,954.66284,-1.1715157,706.374,-0.6508689,8076.9473,-5.7395782,16359.041,-8.457894,11528.708,-8.691637,13134.476,-9.773034,25934.56,-12.571948,27909.715,-15.550242,36223.83,-16.275711,33958.33,-10.910802
6,,341.14026,-1.3961352,1608.3365,-3.7897506,3450.8376,-11.552931,4290.428,-9.960322,7572.7637,-13.536259,5612.41,-5.1964245,962.7742,-0.46487695,581.10474,-0.29255968,18470.621,-10.200592,24281.31,-18.564466,17385.018,-1.6305158
7,,221.8912,-1.5514407,2179.605,-7.126709,4104.8765,-7.683537,6642.42,-8.57562,8114.2207,-10.186968,7799.99,-2.3228757,11463.643,-5.475733,16774.578,-9.932097,18724.238,-7.8868036,24115.94,-10.157796,41115.062,-3.8447413
8,,146.13773,-2.1535285,1310.4423,-2.587302,3914.3464,-6.040257,1841.1587,-0.9380024,2227.588,-2.2832406,6230.332,-4.455651,3365.9019,-4.099021,7117.7705,-1.2742746,6210.2197,-0.9822526,29735.76,-14.707948,31121.902,-10.890325
9,,656.89435,-2.1587217,2523.1592,-2.9935296,5423.533,-6.4474187,6747.1353,-4.9068537,4.9714055,-0.03564895,11414.627,-7.3264785,9.666773,-0.035855398,11072.34,-10.402883,5.74882,-0.025091495,18896.043,-12.766157,37588.125,-9.801258
