,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,399.92712,-4.3477755,3028.7454,-6.618403,4871.8496,-11.255031,6603.038,-5.995245,10152.056,-6.426047,14215.718,-11.511978,24184.854,-15.264285,47913.133,-15.130083,59328.023,-14.086458,56176.973,-12.228894,62980.082,-17.006306
1,,118.128845,-2.0419164,1406.4635,-4.0256104,2097.3574,-4.515337,571.8192,-0.64078695,6212.828,-9.916667,11030.504,-11.374064,54.027466,-0.07075248,28182.094,-16.357483,35942.1,-6.138167,40379.887,-24.426533,60389.527,-7.596671
2,,141.8262,-1.3226534,1209.6047,-4.5241714,2078.6372,-6.792681,3147.002,-4.537012,3971.8198,-4.8315797,5850.704,-1.7216709,13201.893,-7.8523364,179.92542,-0.12685011,36634.055,-8.001966,59061.156,-13.922718,30447.562,-9.1939
3,,714.94916,-2.9947262,79.18056,-0.21785867,7810.9326,-8.44833,9778.41,-10.438357,13810.938,-10.75536,24382.8,-16.66924,0.0015452913,-0.00024893996,40208.86,-17.440075,0.0024213074,-0.00020410714,98208.37,-33.81636,91214.484,-41.808937
4,,902.8008,-3.9574537,3178.5942,-7.038991,6441.9175,-8.052913,9266.445,-8.0904875,11883.426,-8.355181,13583.708,-6.862992,29019.828,-16.301296,46216.5,-10.734881,57569.117,-19.486952,89096.05,-7.718476,161371.94,-42.045616
5,,764.1867,-1.5785125,3173.3032,-6.1795197,31.245073,-0.10467612,9816.202,-5.304617,9135.649,-13.601404,15161.285,-13.711714,20431.742,-19.078959,25515.727,-6.1663814,35425.42,-7.37133,60798.523,-18.20061,78417.99,-32.615158
6,,311.67706,-3.680896,348.74872,-0.89329505,3018.8657,-8.184695,4630.5684,-9.705299,9085.635,-8.463961,10085.204,-12.912103,24.95166,-0.037502337,28971.945,-15.2651615,31892.537,-2.0514193,40122.445,-15.845934,79468.81,-21.3045
7,,406.52216,-4.300409,1654.2806,-5.8590913,1766.0374,-3.586261,2070.139,-2.502204,3247.0852,-3.0572262,559.666,-0.73037964,8682.902,-8.029082,13776.252,-8.572251,13860.809,-4.07944,21460.48,-13.312471,26281.512,-8.232596
8,,83.8259,-0.77187634,2284.1797,-3.1849098,693.4812,-0.7085403,9749.583,-2.9413226,308.58005,-0.3075747,12895.611,-9.528041,9497.922,-5.6858716,23251.334,-12.640305,26388.56,-8.024211,51920.18,-18.427986,52955.484,-27.469933
9,,853.44275,-4.9625564,1568.9597,-3.4496045,1820.7068,-5.8952656,5517.6567,-7.068033,3390.151,-4.344347,7598.3623,-11.839155,110.01474,-0.14150207,14940.795,-12.439147,30443.16,-19.997541,17881.943,-10.451644,60329.07,-18.41198
10,,385.11603,-2.0939727,1002.2335,-0.90837866,173.64111,-0.18760048,9806.174,-6.022318,18433.408,-10.082429,22733.344,-15.370499,36420.22,-14.413724,58893.336,-15.968819,99404.53,-22.467686,140491.39,-13.6811075,146470.88,-27.755333
11,,1389.3123,-4.8675323,2981.1284,-6.9206176,5220.5474,-6.2675076,12886.883,-9.917231,18307.184,-12.145177,24415.834,-7.915855,28255.69,-6.1047163,56879.914,-18.28122,74060.45,-20.085745,69274.984,-12.367424,130099.875,-36.863297
12,,282.32147,-2.0378847,1674.9698,-2.6713095,4118.62,-6.74418,5825.3438,-4.5049224,7777.782,-9.94417,11631.514,-5.7990456,20708.139,-11.460461,43602.945,-10.200709,37368.324,-22.05007,66101.24,-15.591226,82092.96,-8.8120775
13,,114.83356,-1.7686434,520.43134,-2.4913976,585.5034,-2.2208002,3306.079,-3.0219538,6328.888,-7.076068,8524.696,-4.663663,8498.633,-3.5105534,10455.602,-3.6190934,11660.08,-1.9874169,26529.615,-12.343899,15485.137,-1.8801458
14,,300.44305,-2.229445,4229.678,-5.255695,9033.431,-12.009696,5320.737,-8.507294,8074.6904,-8.880109,25353.234,-10.122357,38548.1,-17.216106,58953.086,-25.053179,59542.227,-18.926945,64076.355,-12.030482,143186.03,-38.768616
15,,710.59314,-3.3844655,1011.1963,-2.5170765,257.3325,-0.38584673,4538.3237,-3.7407203,7686.109,-5.8781633,15264.493,-8.991553,11061.355,-7.1422105,31407.86,-20.212664,44663.46,-23.706518,50395.684,-29.470482,81085.766,-17.43212
16,,955.4528,-3.591649,2864.5923,-5.3244925,5424.364,-10.173629,11509.869,-14.43269,10608.42,-12.103114,19680.055,-15.646791,27669.389,-24.887108,40684.375,-21.404715,44413.08,-36.686417,50740.336,-31.808262,63369.992,-27.902565
17,,1006.0808,-4.0322905,2082.08,-3.2590642,2479.6008,-4.640188,3403.891,-9.207002,61.49633,-0.18638325,5661.0693,-4.3467727,7178.969,-4.5924797,16616.748,-14.530634,22070.523,-16.242765,13440.918,-8.859254,35330.797,-19.789795
18,,872.621,-3.6853986,3153.8657,-6.3129563,5341.6523,-7.4865313,2884.1206,-1.4647324,3146.6304,-1.1041304,8730.055,-2.8231275,17236.336,-3.8505738,26142.994,-5.9118767,25108.566,-16.04561,31579.688,-16.512257,53199.438,-21.852741
19,,192.75677,-2.84347,1315.6621,-4.251314,2035.2446,-6.082322,4873.323,-6.171864,67.772316,-0.12638827,299.33813,-0.22118083,10177.943,-8.309177,270.17944,-0.12234054,36191.766,-8.690883,0.04514792,-0.000972565,52043.14,-2.699566
20,,403.28293,-2.7817242,612.9405,-2.3114083,527.6931,-1.2135224,2494.276,-3.0820436,817.4376,-1.133389,8534.391,-6.196558,17086.102,-14.325271,26086.793,-11.521475,39340.76,-24.616856,44745.445,-14.026472,48030.652,-20.367994
21,,288.21277,-2.5185032,2026.8105,-3.8063495,2350.1445,-4.749001,4936.217,-6.7966065,6495.607,-5.755404,7906.919,-7.0928054,7.372842,-0.02108346,26607.758,-16.401869,32294.822,-4.6239696,35856.477,-24.7723,46459.23,-4.4841647
22,,359.662,-2.3862681,163.88063,-0.3948201,3606.7026,-5.3951726,6488.6885,-3.5911462,10225.773,-3.5108945,12968.633,-8.829436,23948.83,-8.538166,24836.566,-10.164402,62439.94,-25.345518,55799.918,-4.299387,71789.61,-26.916517
23,,104.70317,-2.224684,614.5415,-2.362121,1526.4802,-2.2609277,549.5937,-0.6093259,644.7123,-0.4567489,3555.5886,-0.8956673,10911.734,-10.900049,17251.854,-12.491545,631.45215,-0.16558756,33465.89,-14.760545,77053.22,-23.83608
24,,520.3464,-3.369458,2163.2205,-3.5893168,4745.0273,-7.488209,7246.8174,-5.034102,12090.627,-5.7759824,18867.807,-6.889084,22239.875,-10.89677,32806.125,-15.419878,55430.836,-5.7914705,716.56024,-0.10589665,61256.85,-14.588593
25,,257.05008,-2.859751,582.20404,-2.8571413,1362.1936,-2.2438903,2928.886,-3.5405836,6689.166,-5.2590704,2998.2422,-1.2946138,9122.31,-5.060495,14819.781,-6.138874,24319.293,-8.963947,23534.564,-13.434783,34897.055,-9.680065
26,,298.1762,-1.7010192,1262.0874,-2.739305,5514.7085,-11.065399,7964.497,-6.0520053,6068.3267,-3.166062,9867.782,-4.7694697,11821.706,-1.7576246,35384.367,-25.979122,43629.996,-11.588191,7458.491,-0.42262444,98958.34,-9.763626
27,,950.9642,-4.7484956,5489.7036,-9.15927,9177.9,-12.597038,11703.409,-16.980585,15154.697,-18.055792,20389.781,-19.309515,23151.441,-23.018398,31648.223,-16.373207,50296.32,-34.504505,86220.27,-26.702606,112964.4,-40.954647
28,,1426.9585,-4.0890594,1618.677,-3.7228768,629.6454,-1.0671997,2064.6738,-3.8120341,3915.205,-4.987495,5362.63,-3.3494484,6566.989,-1.9819946,17935.941,-3.3397086,31833.01,-13.875679,16810.996,-1.1774156,38172.87,-7.2028766
29,,208.49576,-1.6869544,3802.7688,-11.0922,4395.648,-10.834317,5129.487,-10.299176,4182.2754,-2.487404,4191.3774,-1.9471143,10575.266,-2.748569,7525.089,-3.0877056,48030.9,-27.822218,18729.387,-3.4679918,49990.137,-2.6207786
30,,997.9397,-3.2070198,1174.4958,-3.3818226,579.37524,-1.1530418,1224.0255,-0.77757907,524.6942,-0.381414,8477.158,-7.988989,14872.039,-8.464896,12335.9375,-2.4509788,19085.969,-2.722133,30364.523,-6.0745034,33443.48,-5.90674
31,,744.2383,-5.7932134,1533.2407,-2.2615159,1681.0862,-2.5908244,4939.5776,-7.349689,3044.9336,-1.7518463,6550.9043,-5.001465,2156.8333,-0.5789093,16912.38,-12.402865,23739.518,-5.243317,7175.3164,-0.9207575,43128.945,-4.6579447
32,,566.2838,-2.2936394,3546.37,-4.751634,8005.883,-6.0927763,11928.245,-9.021439,9.258074,-0.032351293,17925.398,-14.427954,27616.97,-17.290415,70013.375,-18.429392,39338.383,-3.506153,87571.93,-26.564226,49147.086,-2.237238
33,,404.0385,-2.4305902,2361.9678,-10.458197,1998.0472,-2.3322363,3399.1748,-6.8061743,2606.502,-3.2990608,4531.0645,-4.9249578,10401.701,-11.973565,909.6594,-0.5503424,1780.7373,-0.6213691,17401.86,-6.997706,24170.727,-8.735697
34,,324.74838,-1.7800555,2259.5923,-5.047826,3417.2134,-3.7966802,7777.0605,-10.915631,6979.6562,-7.3079877,150.4194,-0.14071658,13404.58,-8.621147,19108.672,-6.807441,14095.344,-1.0347046,151.3806,-0.061630994,48005.11,-5.5645084
35,,586.44653,-2.7390974,963.16113,-1.8766948,1598.5404,-2.9378161,4397.74,-2.2363296,6186.107,-2.102391,6009.664,-2.0513108,575.3811,-0.32754046,31557.666,-10.159449,31495.434,-5.914756,46907.37,-8.947233,47449.61,-13.373975
36,,561.16595,-2.787822,456.41675,-0.96266043,4316.0664,-7.813213,3149.9097,-3.401198,7535.0273,-10.07457,8196.574,-9.427865,26856.441,-8.789743,17949.234,-14.018122,6.4663136e-06,-1.615299e-05,5.802497e-06,-1.1742183e-05,0.09853711,-0.0012190617
37,,49.401936,-1.9330716,417.29663,-2.3962238,1160.1577,-3.429692,3062.0771,-4.6407757,1533.4937,-1.1989943,7181.1113,-8.066103,4856.409,-2.755519,17490.225,-13.717552,16542.734,-4.856473,20845.027,-3.5323303,47759.5,-25.9303
38,,223.18214,-2.3612368,156.59277,-0.4564543,3832.3655,-8.148228,3149.8708,-2.253096,4070.1946,-1.7123562,6068.736,-5.1908154,14920.0625,-12.781795,10564.449,-1.8636578,24284.07,-23.134357,44635.016,-18.804085,60224.316,-27.284733
